x,y,t,c,intensity
160.7844,4.2481,1,1,242.9925
90.1673,5.9125,1,1,147.2207
385.8998,7.5846,1,1,364.8159
13.2459,6.9744,1,1,139.7713
405.2836,7.5533,1,1,231.8569
413.5666,7.3519,1,1,182.5636
277.8886,8.3243,1,1,124.2833
393.0787,8.3862,1,1,387.8075
420.3141,9.6017,1,1,151.4385
63.4310,11.4335,1,1,135.7714
204.1066,10.4651,1,1,224.6927
383.2113,13.9108,1,1,275.9398
387.5054,13.9075,1,1,317.7264
388.6152,13.1997,1,1,425.2213
169.2640,14.1751,1,1,147.9654
409.6173,16.3958,1,1,308.2653
61.9856,16.6357,1,1,205.2128
178.1970,17.1613,1,1,175.6196
391.7660,20.5946,1,1,186.4257
221.0096,22.4163,1,1,243.1426
185.1083,24.1191,1,1,262.5558
28.5735,24.6365,1,1,114.7736
2.4149,26.5312,1,1,241.0058
191.9799,26.6139,1,1,173.6648
387.2728,30.3801,1,1,164.9992
390.9185,29.7493,1,1,160.0787
424.2575,28.2353,1,1,302.1143
230.4732,30.8582,1,1,163.8735
66.3085,34.3846,1,1,137.0485
94.3906,32.9845,1,1,97.2468
37.1650,37.0419,1,1,318.3143
146.9133,38.2294,1,1,176.1927
111.5413,38.7277,1,1,148.2684
167.1598,39.2777,1,1,584.2791
63.8087,39.4588,1,1,240.8628
146.3550,41.9100,1,1,133.3050
7.9091,43.9149,1,1,156.4230
123.2391,45.6660,1,1,173.3118
90.7693,47.0162,1,1,223.6636
421.5211,47.6471,1,1,104.7974
215.1035,51.4622,1,1,262.1073
83.9458,53.0564,1,1,144.3473
163.1354,52.7508,1,1,254.9454
137.1931,55.2622,1,1,203.2116
98.9393,57.1419,1,1,434.1329
116.6478,57.4760,1,1,331.6929
35.3262,59.9813,1,1,96.6464
204.4878,60.0845,1,1,196.1119
115.4887,60.5485,1,1,277.3667
62.1861,61.8054,1,1,107.4198
210.5537,62.3844,1,1,260.6249
115.8439,65.0951,1,1,278.3118
223.5328,66.2700,1,1,115.1389
147.9112,68.2723,1,1,628.6340
187.1586,68.8047,1,1,171.3499
161.4761,70.5968,1,1,324.6342
97.6816,71.6123,1,1,290.8524
157.3317,71.3428,1,1,390.6974
67.2144,71.6211,1,1,310.3377
137.7774,72.9758,1,1,242.0263
102.8271,73.1594,1,1,400.2248
185.2930,74.8750,1,1,273.4888
43.4726,75.6663,1,1,110.0909
55.9445,76.3341,1,1,214.1942
111.2011,75.7810,1,1,304.2998
203.9776,76.0689,1,1,377.7274
95.4389,76.7598,1,1,362.4905
154.7682,77.1461,1,1,397.1750
168.9516,76.9393,1,1,265.4933
194.8466,80.3117,1,1,277.8253
235.1928,79.4565,1,1,224.8832
223.6685,80.7063,1,1,209.4567
329.5783,81.4236,1,1,119.5006
87.9222,84.9280,1,1,234.2017
104.7125,85.0346,1,1,302.7116
146.1660,85.3974,1,1,535.6960
164.5719,86.0671,1,1,288.7830
190.1825,86.4026,1,1,201.5304
57.0272,86.9901,1,1,159.6612
157.3211,86.9549,1,1,610.2339
36.2246,87.6903,1,1,132.1487
17.2855,90.0924,1,1,163.0128
167.4473,89.4116,1,1,417.2481
209.5701,88.8210,1,1,402.6170
216.4755,89.1592,1,1,305.1679
234.4131,89.0535,1,1,343.4973
244.6261,89.2801,1,1,265.8609
289.6164,88.5216,1,1,141.4282
22.6973,90.7910,1,1,254.0780
181.0318,90.8317,1,1,236.8506
194.1894,91.1979,1,1,303.4161
141.4774,91.6985,1,1,336.9414
40.4173,94.3956,1,1,275.8474
123.6119,94.4842,1,1,169.0295
62.7735,95.9929,1,1,242.7075
91.0153,96.1151,1,1,190.6771
96.8723,97.0559,1,1,252.9089
133.7173,97.5561,1,1,443.3376
49.2259,97.5735,1,1,176.2150
166.1439,97.4420,1,1,530.4678
181.6849,98.0957,1,1,403.0076
199.3675,97.9513,1,1,231.4763
215.7224,98.8031,1,1,155.1796
141.6439,100.3014,1,1,171.7632
207.1342,100.5204,1,1,278.7313
21.8788,102.3079,1,1,162.9448
102.0700,101.0993,1,1,216.8290
115.3714,103.4681,1,1,681.5620
132.1905,103.9495,1,1,384.2143
205.7034,103.7450,1,1,320.1299
203.1985,103.7655,1,1,309.9228
73.6436,105.8256,1,1,169.2337
191.0468,104.9012,1,1,305.7841
18.4263,106.4386,1,1,269.2729
150.8253,106.7062,1,1,199.5128
263.0923,105.9021,1,1,214.8241
173.8001,106.5365,1,1,193.9025
247.2415,106.4564,1,1,198.4081
130.9191,107.4868,1,1,553.7546
84.4187,108.7119,1,1,119.5566
240.0060,109.8759,1,1,219.5094
268.9196,110.3997,1,1,218.9594
25.4257,110.6788,1,1,210.9245
139.8941,113.1270,1,1,193.6647
206.2055,111.4400,1,1,457.2128
227.2438,113.0082,1,1,188.4148
61.8059,112.6146,1,1,509.2805
100.0678,114.5123,1,1,495.0875
108.1675,112.9589,1,1,250.6542
415.9357,112.9848,1,1,169.2104
146.4384,114.1677,1,1,188.2366
152.2889,114.3294,1,1,395.6091
258.0967,114.4029,1,1,297.2585
48.5500,114.6221,1,1,171.5572
124.2108,114.9347,1,1,146.5091
197.4017,115.5888,1,1,320.5761
403.3809,115.1308,1,1,120.1369
177.1289,117.7123,1,1,351.9680
79.8754,119.1955,1,1,226.8844
165.9135,118.2723,1,1,429.2878
222.6441,118.3064,1,1,240.3931
100.9321,118.5462,1,1,597.7477
204.3194,119.7366,1,1,384.8649
291.0218,119.1860,1,1,351.9159
115.3250,120.5600,1,1,196.0703
134.1106,120.5571,1,1,390.1427
172.0545,121.0375,1,1,470.7067
241.0136,121.1230,1,1,319.7723
172.6746,122.1559,1,1,509.9246
142.0999,123.2039,1,1,424.4359
194.5061,123.4673,1,1,371.9851
106.8591,124.1657,1,1,306.7889
95.9628,125.7481,1,1,209.8425
73.0602,125.0241,1,1,248.1324
147.6219,125.2071,1,1,334.6670
253.1898,126.6434,1,1,404.4133
56.4768,127.1024,1,1,160.6153
92.7495,126.3655,1,1,171.7494
123.1459,127.3348,1,1,292.7235
210.6614,126.7843,1,1,342.6996
43.5087,128.4975,1,1,244.4715
111.9866,127.6795,1,1,279.6334
241.9887,126.8340,1,1,190.1558
303.7518,128.1407,1,1,134.4547
163.2156,128.6313,1,1,562.4413
196.2978,128.9685,1,1,547.5146
178.7077,129.7542,1,1,316.5822
221.5269,130.8137,1,1,412.2070
101.3766,131.2402,1,1,193.8999
210.8475,131.4984,1,1,310.6763
127.3940,133.4277,1,1,440.7306
160.3514,131.2516,1,1,293.3468
232.1618,133.1740,1,1,406.6141
118.6029,133.7440,1,1,195.3953
63.4465,135.0004,1,1,337.0100
193.2108,134.7392,1,1,280.5645
278.0584,134.5886,1,1,213.9191
221.3385,135.4912,1,1,591.7675
297.1113,136.4015,1,1,246.0753
104.0215,138.4083,1,1,494.3859
139.2091,139.0938,1,1,670.7098
260.6191,139.8209,1,1,276.1492
87.6156,140.0666,1,1,121.5559
205.0108,140.8772,1,1,100.0995
146.1850,141.9554,1,1,319.4261
111.4540,142.3573,1,1,443.0872
163.0538,144.4333,1,1,276.0714
154.6300,143.4449,1,1,739.9212
214.2750,144.1388,1,1,302.5367
186.5361,144.2512,1,1,306.2943
124.2008,145.1573,1,1,312.1698
179.3260,145.6589,1,1,340.9859
111.4512,146.5919,1,1,511.4754
114.2559,147.3914,1,1,366.4978
146.7554,146.4821,1,1,456.3781
165.2514,146.5997,1,1,310.9473
149.7123,147.0048,1,1,443.1992
191.9261,150.3645,1,1,280.7758
177.3436,149.8819,1,1,234.2167
227.3303,150.6465,1,1,268.5216
32.5707,151.4203,1,1,184.3900
84.6184,152.5113,1,1,600.6201
133.0572,151.8886,1,1,217.4605
255.1028,152.0526,1,1,309.3685
251.3217,153.4224,1,1,250.6633
69.3355,154.1056,1,1,325.6382
112.8898,152.3649,1,1,278.5207
211.7851,155.3709,1,1,94.2915
307.3703,155.1281,1,1,164.7775
295.2354,156.0827,1,1,200.0499
97.1496,157.0241,1,1,384.2473
149.5703,157.4969,1,1,341.8593
186.1133,157.3308,1,1,196.2481
398.1300,159.1058,1,1,827.6519
106.5192,158.3576,1,1,308.0179
393.1590,160.6969,1,1,815.6669
119.3605,159.0113,1,1,545.9965
154.8546,158.8375,1,1,429.5419
21.9284,159.7997,1,1,294.0543
167.4263,160.1157,1,1,226.0867
396.2831,160.4884,1,1,853.3076
403.2268,162.4637,1,1,837.4707
47.1298,161.6046,1,1,145.2478
253.7765,160.7182,1,1,223.7691
106.9572,161.9181,1,1,251.9675
159.0526,162.9841,1,1,486.3884
394.4432,161.1380,1,1,818.3025
125.8834,163.4250,1,1,147.4857
145.1553,163.7523,1,1,426.7610
387.6558,164.1611,1,1,760.1506
405.7088,163.6848,1,1,760.3813
110.0409,165.3812,1,1,398.1659
402.7193,163.8907,1,1,838.3856
194.9248,166.2402,1,1,373.0381
41.7854,166.7453,1,1,143.7144
180.4471,168.4890,1,1,134.0064
188.1485,168.5057,1,1,436.8028
175.1921,169.2801,1,1,286.0701
302.6851,169.5544,1,1,151.0087
64.1292,170.3248,1,1,219.0353
106.5866,170.7283,1,1,424.6651
241.6765,171.1595,1,1,112.3012
128.6151,172.5850,1,1,172.4144
161.3070,174.1364,1,1,946.2408
184.5886,174.1944,1,1,498.8755
388.7042,172.5872,1,1,597.2502
395.3672,172.2048,1,1,619.1257
146.7841,175.6516,1,1,440.9707
100.7885,175.6177,1,1,749.6636
76.9402,176.8244,1,1,189.1189
166.9617,177.9177,1,1,503.5249
30.2357,179.2167,1,1,225.7054
119.6988,178.6979,1,1,360.1044
194.5112,179.1043,1,1,144.6577
137.2842,180.6696,1,1,300.3206
141.4826,179.0478,1,1,390.8883
312.9409,181.2366,1,1,149.2439
395.1474,179.4378,1,1,287.6332
148.1185,181.4063,1,1,473.2429
158.9085,180.6702,1,1,294.6303
178.4348,183.3577,1,1,162.4145
110.9718,184.0095,1,1,577.4158
172.1886,185.1734,1,1,359.8537
18.8938,186.3231,1,1,120.0133
151.1985,185.3308,1,1,425.5851
206.7481,187.1285,1,1,244.4017
328.0915,187.0119,1,1,224.1646
86.0527,188.4194,1,1,287.9286
95.9851,187.9173,1,1,359.3797
105.3947,187.8485,1,1,390.9086
118.1626,190.0124,1,1,324.2411
125.0482,191.4621,1,1,424.9327
136.1426,192.3360,1,1,497.1652
313.6098,192.1362,1,1,185.9966
85.2956,191.1508,1,1,278.6400
160.1038,192.5922,1,1,349.6757
59.7544,192.8597,1,1,149.5645
98.8511,194.2356,1,1,339.3514
312.1679,193.6780,1,1,219.4871
150.4568,195.4893,1,1,287.1541
155.5260,192.4632,1,1,213.0866
125.6532,195.4340,1,1,452.0396
142.4925,195.1840,1,1,230.5731
161.4877,196.4649,1,1,321.7133
169.8684,197.0953,1,1,389.0424
194.3706,196.5161,1,1,167.5151
122.4787,197.7290,1,1,389.2547
103.3364,199.7064,1,1,573.7902
134.2151,199.6982,1,1,699.4894
151.2519,199.8615,1,1,478.8736
51.1702,201.2623,1,1,114.8580
117.8597,201.6010,1,1,184.0581
87.5650,203.3327,1,1,320.7493
268.8839,204.0599,1,1,132.6637
63.3441,204.6575,1,1,285.7221
183.8705,205.8528,1,1,239.5948
73.8276,206.2574,1,1,178.4851
111.5806,207.3321,1,1,296.1134
137.9620,208.3743,1,1,339.1353
187.0925,208.3546,1,1,277.6137
148.6240,209.3150,1,1,234.8757
102.7061,210.7096,1,1,629.5551
119.1110,211.5423,1,1,244.2425
46.4831,212.5932,1,1,116.3864
332.3518,211.9108,1,1,205.2084
131.0836,212.6313,1,1,391.4900
163.8930,213.0316,1,1,298.8470
60.2099,213.8843,1,1,273.9525
200.8964,214.0793,1,1,189.9682
229.9067,214.9744,1,1,171.7097
74.1008,216.6163,1,1,112.5146
82.2366,217.1070,1,1,328.3840
95.0088,217.6770,1,1,1139.3845
118.0389,217.0455,1,1,573.2823
163.8503,216.0225,1,1,265.5372
103.5998,218.1713,1,1,594.8780
178.0220,217.4585,1,1,336.3611
33.7382,219.2307,1,1,123.9816
42.4506,219.4236,1,1,119.4859
324.6838,219.2056,1,1,154.6085
119.7366,221.5236,1,1,514.0682
316.6426,221.3591,1,1,137.8758
377.0820,221.2591,1,1,298.1381
398.3798,222.6565,1,1,119.4979
144.3775,224.4352,1,1,692.6519
145.4540,224.5004,1,1,715.7325
390.4499,225.0611,1,1,115.9231
85.8650,225.5071,1,1,186.7153
131.0487,226.4377,1,1,497.4158
150.3760,225.6457,1,1,441.3453
226.3264,225.7447,1,1,154.2932
112.6880,227.8122,1,1,453.1469
187.6691,226.0953,1,1,201.1208
200.4351,228.3044,1,1,156.6750
313.2099,228.3676,1,1,250.8152
95.9672,229.5022,1,1,303.5279
105.5249,229.4610,1,1,274.6865
402.3486,231.3344,1,1,123.8415
114.2291,230.8286,1,1,415.7317
59.7574,233.1504,1,1,251.9594
68.5222,234.2716,1,1,156.0742
106.5945,233.5099,1,1,318.3544
306.6987,234.7690,1,1,155.5981
126.8154,238.0955,1,1,296.2917
139.0421,237.7462,1,1,396.9647
152.1433,238.8646,1,1,360.0246
173.5193,238.6262,1,1,199.3261
215.8128,238.1468,1,1,198.6498
208.6006,238.7316,1,1,163.4069
258.6747,239.4241,1,1,158.4078
231.9261,240.1589,1,1,126.4703
123.9846,241.1402,1,1,428.2148
252.3317,243.0935,1,1,131.8567
307.2726,242.0592,1,1,142.6408
92.2869,242.7029,1,1,417.1273
149.9903,245.3867,1,1,455.8305
99.0712,247.3034,1,1,661.5516
85.7760,247.9738,1,1,344.2685
143.7470,247.6562,1,1,523.1058
127.0165,249.0460,1,1,400.7285
159.5286,248.5073,1,1,164.7601
238.2482,249.3150,1,1,188.8583
119.1832,249.8569,1,1,413.3888
385.0439,250.3204,1,1,316.1298
233.2382,250.6629,1,1,169.9442
400.4921,251.3321,1,1,202.1055
131.6921,251.4056,1,1,616.1996
280.4384,252.4501,1,1,138.0513
377.0489,253.2493,1,1,170.1506
57.8333,253.5703,1,1,644.2739
106.2094,252.5989,1,1,211.4274
81.1144,254.0903,1,1,194.3965
143.5159,253.2553,1,1,272.6069
204.3014,254.4564,1,1,165.5053
97.7714,256.0966,1,1,416.7530
366.4902,257.4868,1,1,237.6124
378.8783,256.1648,1,1,180.9012
32.2306,258.9379,1,1,361.3286
353.5085,258.8202,1,1,222.8903
31.6559,260.2813,1,1,385.1523
60.1996,260.6514,1,1,433.2942
394.9769,261.4493,1,1,253.9910
107.7928,261.5603,1,1,286.5242
